Topic,Representation
-1,"['cast', 'films', 'film', 'movie', '2020', 'comedy', 'released', 'character', 'including', 'million']"
0,"['goalscorer', 'scored', 'goals', 'goal', 'goalkeeper', 'scorer', 'scoring', 'villa', 'striker', 'penalty']"
1,"['khan', 'actor', 'raj', 'shah', 'crore', 'hai', 'actress', 'cast', 'crores', 'raja']"
2,"['married', 'divorced', 'couple', 'remarried', 'engaged', 'divorcing', 'actress', 'wife', 'marriage', 'divorce']"
3,"['cast', 'actress', 'starred', 'actor', 'actors', 'starring', 'acting', 'sitcom', 'primetime', 'nominated']"
4,"['wrestle', 'reigns', 'wrestled', 'rumble', 'feud', 'wrestler', 'undertaker', 'wrestlers', 'booker', 'wrestling']"
5,"['cuisine', 'cuisines', 'foods', 'culinary', 'meal', 'rice', 'pork', 'cooking', 'food', 'vegetables']"
6,"['rebounds', 'harden', 'assists', 'scoring', 'wade', 'basketball', 'suns', 'steals', 'playoffs', 'curry']"
7,"['touchdowns', 'interceptions', 'quarterback', 'touchdown', 'fumble', 'manning', 'quarterbacks', 'interception', 'cornerback', 'yards']"
8,"['goddesses', 'goddess', 'mythology', 'deities', 'gods', 'pantheon', 'worshipped', 'odyssey', 'deity', 'worship']"
9,"['reelection', 'election', 'republican', 'elections', 'electoral', 'candidates', 'nominee', 'reelected', 'recount', 'presidential']"
10,"['middleweight', 'fights', 'punches', 'welterweight', 'heavyweight', 'fighter', 'knockout', 'boxer', 'fighters', 'boxing']"
11,"['hitter', 'hitters', 'inning', 'outfielder', 'batting', 'pitching', 'shortstop', 'innings', 'pitcher', 'pitches']"
12,"['yoga', 'sutra', 'sutras', 'meditation', 'dharma', 'bodhisattva', 'bodhisattvas', 'buddha', 'chakra', 'moksha']"
13,"['missile', 'missiles', 'aircraft', 'squadrons', 'fighter', 'armament', 'aerospace', 'fighters', 'bomber', 'squadron']"
14,"['chassis', 'vehicle', 'wheelbase', 'gearbox', 'sedan', 'engines', 'wheels', 'turbocharged', 'engine', 'tires']"
15,"['grace', 'rob', 'nick', 'anna', 'house', 'discovers', 'realizes', 'killed', 'confronts', 'killer']"
16,"['chlorine', 'chloride', 'hydrochloric', 'hydroxide', 'corrosion', 'salts', 'acids', 'hypochlorite', 'reactions', 'acid']"
17,"['planets', 'galaxies', 'planetary', 'astronomers', 'dwarf', 'nebulae', 'planet', 'dwarfs', 'galactic', 'milky']"
18,"['matrices', 'matrix', 'transpose', 'eigenvector', 'multiplication', 'eigenvectors', 'columns', 'tensors', 'quaternions', 'determinants']"
19,"['rifle', 'rifles', 'firearm', 'firearms', 'ammunition', 'pistols', 'pistol', 'carbine', 'carbines', 'caliber']"
20,"['campuses', 'colleges', 'campus', 'undergraduates', 'college', 'universities', 'university', 'undergraduate', 'admissions', 'graduates']"
21,"['renewed', 'seasons', 'season', 'airing', '2023', 'episodes', '2022', 'premiered', '2019', 'canceled']"
22,"['climates', 'climate', 'weather', 'temperatures', 'temperature', 'humidity', 'winters', 'rainfall', 'subtropical', 'colder']"
23,"['benzodiazepines', 'benzodiazepine', 'antidepressants', 'antidepressant', 'diazepam', 'inhibitors', 'naloxone', 'olanzapine', 'opioids', 'alprazolam']"
24,"['consoles', 'console', 'gaming', 'platform', 'gamepad', 'hardware', 'vita', 'pc', 'arcade', 'games']"
25,"['vowel', 'vowels', 'consonants', 'consonant', 'diacritics', 'phonetic', 'pronunciation', 'diacritic', 'syllable', 'syllables']"
26,"['heir', 'throne', 'nobility', 'eldest', '1536', 'regent', 'nobles', 'earls', 'royal', 'countess']"
27,"['737', 'airline', 'airliner', 'airlines', 'airliners', 'aircraft', 'flights', '747', 'aerospace', 'flight']"
28,"['thermodynamic', 'thermodynamics', 'entropy', 'equilibrium', 'temperature', 'thermal', 'macroscopic', 'adiabatic', 'gases', 'kelvin']"
29,"['venom', 'marvel', 'spider', 'doom', 'carnage', 'villain', 'villains', 'fury', 'superhero', 'superheroes']"
30,"['tales', 'folktales', 'tale', 'fairy', 'stories', 'novels', 'literature', 'folklorists', 'books', 'literary']"
31,"['caesar', 'augustus', 'roman', 'consul', 'consuls', 'consulship', 'emperors', 'assassinated', 'assassination', 'triumvirate']"
32,"['gospels', 'testament', 'disciples', 'apostle', 'apostles', 'scriptures', 'gospel', 'scripture', 'epistle', 'bible']"
33,"['banks', 'banking', 'bank', 'mortgages', 'finance', 'financial', 'lenders', 'mortgage', 'investors', 'lender']"
34,"['variance', 'variances', 'distribution', 'distributions', 'statistics', 'deviation', 'statistic', 'statistical', 'deviations', 'expectation']"
35,"['prix', 'motorsport', 'raced', 'racing', 'qualifying', 'podium', 'overtook', 'laps', 'overtaking', 'podiums']"
36,"['filmed', 'filming', 'footage', 'photography', 'cinematographer', 'film', 'studios', 'filmmakers', 'camera', 'cameras']"
37,"['reactors', 'reactor', 'nuclear', 'fission', 'fissions', 'fissionable', 'plutonium', 'neutron', 'neutrons', 'uranium']"
38,"['mixtape', 'rapper', 'thug', 'mixtapes', 'rap', 'rappers', 'raps', 'rapping', 'remix', 'meek']"
39,"['khan', 'sheikh', 'maharaja', 'minister', 'appointed', 'elected', 'constituencies', 'elections', 'constituency', 'parliamentary']"
40,"['symphonies', 'concertos', 'symphonic', 'composers', 'concerto', 'symphony', 'libretto', 'orchestral', 'composer', 'cantatas']"
41,"['lightsaber', 'lightsabers', 'prequels', 'prequel', 'han', 'menace', 'rebels', 'ren', 'rebel', 'battlefront']"
42,"['ants', 'insects', 'arachnids', 'arthropods', 'spiders', 'insect', 'wasps', 'tarantulas', 'termites', 'larvae']"
43,"['psychiatric', 'psychosis', 'disorders', 'schizophrenia', 'disorder', 'schizotypal', 'schizoid', 'psychotic', 'psychodynamic', 'bipolar']"
44,"['unionists', 'unionist', 'nationalists', 'loyalist', 'protestant', 'loyalists', 'independence', 'cork', 'nationalist', '1922']"
45,"['renewable', 'renewables', 'hydroelectricity', 'hydroelectric', 'energy', 'photovoltaic', 'electricity', 'sustainable', 'hydropower', 'sustainability']"
46,"['eruptions', 'volcano', 'volcanoes', 'eruption', 'volcanic', 'erupted', 'erupting', 'eruptive', 'magma', 'orogeny']"
47,"['9million', '6million', '5million', '8million', '2million', '7million', 'grossing', '3million', '4million', '1million']"
48,"['albums', 'songs', 'rapper', 'album', 'hyun', 'song', 'singles', 'debut', 'popularity', 'concert']"
49,"['nazi', 'ss', '1934', '1938', '1930', '1941', '1939', '1944', '1942', '1945']"
50,"['broadcasters', 'broadcasting', 'broadcasts', 'televised', 'broadcast', 'broadcaster', 'channel', 'simulcast', 'announcers', 'telecast']"
51,"['rpg', 'gaming', 'games', 'gamer', 'fantasy', 'gameplay', 'consoles', 'game', 'doom', 'joystick']"
52,"['vogue', 'magazine', 'glamour', 'magazines', 'playboy', 'cosmopolitan', 'supermodel', 'fashion', 'supermodels', 'haute']"
53,"['comedian', 'primetime', 'night', 'comedians', 'podcast', 'shows', 'airing', 'sitcom', 'tonight', 'cast']"
54,"['collegiate', 'colleges', 'conferences', 'conference', 'intercollegiate', 'northwestern', 'sec', 'college', 'athletics', 'divisions']"
55,"['candidacy', 'candidate', 'candidates', 'presidential', 'presidency', 'election', 'elected', 'senatorial', 'elections', 'barangay']"
56,"['bond', 'royale', 'spectre', 'pierce', 'spy', 'screenplay', 'films', 'actor', 'casino', 'film']"
57,"['band', 'frontman', 'bassist', 'vocalist', 'toured', 'vocals', 'drummer', 'bands', 'concert', 'guitarist']"
58,"['joker', 'superman', 'superhero', 'comics', 'comic', 'robin', 'supervillain', 'bat', 'knight', 'bane']"
59,"['airport', 'airports', 'airlines', 'airline', 'terminals', 'concourse', 'concourses', 'flights', 'airfield', 'aviation']"
60,"['communists', 'yuan', 'yang', 'communist', 'politburo', 'nationalist', 'nationalists', 'ching', 'kai', '1949']"
61,"['titanic', 'lifeboat', 'lifeboats', 'sank', 'ships', 'sinking', 'boat', 'boats', 'sailed', 'maritime']"
62,"['dynasty', 'emperor', 'dynasties', 'yang', 'yuan', 'emperors', 'khan', 'ying', 'han', 'chang']"
63,"['breeds', 'terrier', 'terriers', 'shepherd', 'dachshunds', 'canine', 'shepherds', 'breed', 'beagles', 'dachshund']"
64,"['rating', 'rated', 'cinematography', 'film', 'screenplay', 'thriller', 'filmmaking', 'stars', 'review', 'movie']"
65,"['protestant', 'catholic', 'churches', 'evangelicals', 'denominational', 'denomination', 'religiosity', 'church', 'evangelical', 'religions']"
66,"['interstates', 'interstate', 'highways', 'freeway', 'turnpike', 'freeways', 'highway', 'expressway', 'traffic', 'transportation']"
67,"['nationalists', 'secession', 'separatism', 'republics', 'nationalism', 'nationalist', 'communists', 'communist', 'republic', 'constituent']"
68,"['yoon', 'hyun', 'jung', 'jae', 'hyung', 'jin', 'jong', 'lee', 'kyung', 'joo']"
69,"['confederation', '1867', '1814', '1871', 'emperor', '1861', 'annexation', '1864', '1848', '1815']"
70,"['shah', 'khan', 'dynasty', 'dynasties', 'sultanate', 'sultanates', 'sultan', 'viceroy', 'emperor', 'conquered']"
71,"['airlines', 'airline', 'alliance', 'airways', 'flights', 'aviation', 'emirates', 'flight', 'planes', 'fares']"
72,"['flash', 'storage', 'memory', 'gigabyte', 'devices', 'drives', 'disk', 'device', 'computers', 'motherboards']"
73,"['constituencies', 'constituency', 'election', 'elections', 'candidates', 'parliamentary', 'democrats', 'conservatives', 'democrat', 'electoral']"
74,"['constituencies', 'constituency', 'elections', 'election', 'candidates', 'electoral', 'elected', 'raj', 'campaigned', 'candidate']"
75,"['boxer', 'heavyweight', 'middleweight', 'heavyweights', 'foreman', 'boxing', 'welterweight', 'boxers', 'punches', 'fighter']"
76,"['programming', 'python', 'compilers', 'compiler', 'languages', 'implementations', 'programs', 'programmers', 'program', 'syntax']"
77,"['mafia', 'gangster', 'indictment', 'gangsters', 'indicted', 'murders', 'prosecutors', 'convicted', 'sentenced', 'criminal']"
78,"['caliph', 'ibn', 'caliphs', 'caliphate', 'caliphates', 'awiyah', 'imam', 'awiya', 'mecca', 'prophet']"
79,"['manga', 'shonen', 'shōnen', 'anime', 'chapters', 'mangaka', 'shōjo', 'comics', 'novels', 'yen']"
80,"['warships', 'frigates', 'warship', 'frigate', 'battleships', 'battleship', 'cruisers', 'naval', 'destroyers', 'cruiser']"
81,"['heterosexuality', 'bisexuality', 'homosexual', 'heterosexual', 'heterosexuals', 'bisexual', 'sexuality', 'bisexuals', 'homosexuality', 'homosexuals']"
82,"['released', '2021', 'releases', '20th', '2022', '2019', 'release', 'blu', 'cinema', 'premiered']"
83,"['marvel', 'spider', 'marvels', 'avenger', 'superhero', 'comics', 'venom', 'wolverine', 'sequels', 'stark']"
84,"['tennis', 'quarterfinal', 'semifinals', 'tournaments', 'quarterfinals', 'semifinal', 'tournament', 'doubles', 'finals', 'matches']"
85,"['heir', 'throne', 'kingdom', 'kingdoms', 'king', 'heathen', 'rulers', 'earldom', 'earls', 'reigned']"
86,"['poker', 'betting', 'gambling', 'casino', 'bets', 'casinos', 'blackjack', 'cards', 'roulette', 'opponent']"
87,"['soundtrack', 'soundtracks', 'musical', 'symphony', 'instrumental', 'orchestral', 'sung', 'composer', 'song', 'orchestra']"
88,"['consent', 'rape', 'minors', 'statutory', 'age', 'imprisonment', '16', 'prohibits', '18', 'adult']"
89,"['1860', '1852', '1832', 'reelection', 'confederate', '1856', 'electoral', 'presidency', 'confederates', 'presidential']"
90,"['trek', 'showrunner', 'starship', 'showrunners', 'starships', 'cast', 'premiered', 'paramount', 'timeline', 'episodes']"
91,"['wickets', 'batsman', 'cricketer', 'wicket', 'cricket', 'bowled', 'batting', 'bowler', 'innings', 'cricketers']"
92,"['heir', 'duchess', 'eldest', 'prince', 'royal', 'princess', 'grandchildren', 'born', 'monarch', 'paternal']"
93,"['goaltender', 'puck', 'goalie', 'hockey', 'ahl', 'flyers', 'penguins', 'avalanche', 'islanders', 'playoffs']"
